LISTING_ID,TYPE,TEXT,YEAR_BUILT,BEDS,BATHS,BATHS_FULL,BATHS_HALF,GARAGE,LOT_SQFT,SQFT,STORIES,LASTSOLDPRICE,SOLDON,LISTPRICE,STATUS,LISTING_DATE,COMMUNITY_AREA_NUMBER
62721bfedcf0932c0216db19ac9dc59f,townhouse,"Space, light, and style come together in Edison Park. Sun-drenched interiors and an intuitive, flexible floor plan. This 3-story home offers 1 bedrooms and 3 baths across approximately 3590 sqft. Features include quartz countertops, smart-home lighting, solid-core doors, spray-foam insulation, oversized island, plus landscaped garden. Located near Grant Park, with room to grow or work from home. Garage: 1. Lot size ~6641 sqft. Opportunity knocks in a prime location.",2025,6,6,3,2,2,4321,3057,3,,2025-09-06,709548,for_sale,2025-01-01,9
4b781818a0fed94633292e2354a4b3d5,condo,"Space, light, and style come together in South Loop. Sun-drenched interiors and an intuitive, flexible floor plan. This 2-story home offers 2 bedrooms and 3 baths across approximately 3389 sqft. Features include steam shower, white oak flooring, oversized island, quartz countertops, plus fenced yard. Located near the Riverwalk, tucked on a quiet, tree-lined street. Garage: 0. Lot size ~6657 sqft. Schedule your tour today.",1900,6,6,3,1,1,4064,3137,1,,2025-08-18,780783,for_sale,2025-01-01,32
ce249a362f070560974ebeb4abd6c9cd,condo,"Life on a tree-lined street, moments from it all in Bridgeport. Meticulously maintained with timeless finishes and efficient systems. This 1-story home offers 5 bedrooms and 3 baths across approximately 753 sqft. Features include spray-foam insulation, custom millwork, soundproof windows, plus fenced yard. Located near Millennium Park, minutes to shops, transit, and lakefront paths. Garage: 0. Lot size ~5283 sqft. Opportunity knocks in a prime location.",2025,1,3,3,0,2,3120,245,2,,2025-06-28,271335,sold,2025-01-01,60
220a84581c39b1c0f50a45cefe91a573,condo,"Life on a tree-lined street, moments from it all in Edison Park. Architecturally charming with modern upgrades throughout. This 3-story home offers 6 bedrooms and 2 baths across approximately 1001 sqft. Features include new roof and windows, white oak flooring, smart-home lighting, steam shower, plus balcony off the primary suite. Located near Jackson Park, minutes to shops, transit, and lakefront paths. Garage: 0. Lot size ~1830 sqft. The one you’ve been waiting for.",2025,1,2,2,1,0,1215,1032,1,,2025-07-17,461565,sold,2025-01-01,9
a33b395ef8823703c0512cfa17d6b157,townhouse,"Urban convenience without compromise in South Loop. Move-in ready and thoughtfully updated with classic Chicago details. This 1-story home offers 4 bedrooms and 4 baths across approximately 1744 sqft. Features include spray-foam insulation, oversized island, waterproofed basement, plus rooftop deck. Located near Navy Pier, tucked on a quiet, tree-lined street. Garage: 2. Lot size ~3781 sqft. A must-see in this price point.",1900,7,3,3,0,0,5783,1224,2,524278.4202296113,2025-08-17,217888,for_sale,2025-01-01,32
45a0bce4281a983e7de01bc382c425e9,condo,"Experience Chicago living at its best in Chinatown. Sun-drenched interiors and an intuitive, flexible floor plan. This 1-story home offers 5 bedrooms and 2 baths across approximately 841 sqft. Features include custom millwork, designer tile, professional-grade range, dual-zone climate control, plus front porch. Located near Millennium Park, steps to dining, cafes, and CTA. Garage: 0. Lot size ~1342 sqft. Opportunity knocks in a prime location.",1900,4,1,2,0,1,5576,2194,3,,2025-07-23,677198,sold,2025-01-01,10
70cae49c4afa13d05e64f053c407a587,single_family,"Classic Chicago vibes meet contemporary comfort in Chinatown. A rare blend of space, light, and style in a coveted location. This 1-story home offers 4 bedrooms and 3 baths across approximately 2276 sqft. Features include smart-home lighting, spray-foam insulation, wine fridge, plus fenced yard. Located near Humboldt Park, ideal for hosting and everyday life. Garage: 1. Lot size ~1510 sqft. Opportunity knocks in a prime location.",1900,1,1,2,0,0,4981,1389,3,652751.9847682972,2025-08-26,537285,sold,2025-01-01,23
9242387b70cc79e3ba2489ad45d5275c,condo,"Life on a tree-lined street, moments from it all in Edgewater. Sun-drenched interiors and an intuitive, flexible floor plan. This 2-story home offers 4 bedrooms and 1 baths across approximately 3843 sqft. Features include professional-grade range, wine fridge, heated bathroom floors, plus front porch. Located near Millennium Park, tucked on a quiet, tree-lined street. Garage: 3. Lot size ~6130 sqft. The one you’ve been waiting for.",1900,4,5,4,2,1,5820,1590,1,,2025-06-23,1474837,sold,2025-01-01,77
7c876212a639a2a5d19966fd207a16ec,condo,"Welcome to your next chapter in the city in Andersonville. Meticulously maintained with timeless finishes and efficient systems. This 1-story home offers 5 bedrooms and 3 baths across approximately 883 sqft. Features include solid-core doors, wine fridge, waterproofed basement, high-efficiency HVAC, custom millwork, plus balcony off the primary suite. Located near The University of Chicago, steps to dining, cafes, and CTA. Garage: 3. Lot size ~5781 sqft. The one you’ve been waiting for.",2025,3,4,3,2,1,4404,3743,0,,2025-05-12,646263,sold,2025-01-01,31
1163db5e9d54dbe30b1fe8afe082a02a,condo,"Space, light, and style come together in Edgewater. Meticulously maintained with timeless finishes and efficient systems. This 1-story home offers 1 bedrooms and 6 baths across approximately 2262 sqft. Features include white oak flooring, quartz countertops, smart-home lighting, soundproof windows, plus fenced yard. Located near Humboldt Park, tucked on a quiet, tree-lined street. Garage: 0. Lot size ~6347 sqft. Schedule your tour today.",1976,2,2,1,1,0,3951,3358,2,,2025-05-26,91692,sold,2025-01-01,23
